
########################################################################################################################
########################################################################################################################

# [[Sample Characteristics]] 
# crystal symmetry:                       orthorhombic        
# density (kg/m^3):                       9190                
# highest order basis polynomial:         18                  
# resonance frequencies calculated with:  RUS_XYZ             

########################################################################################################################
########################################################################################################################

#Fit Statistics-----------------------------------------------------------------
	# Fitting Class      	= rus_lmfit
	# fitting method     	= leastsq
	# polish             	= True
	# data points        	= 152
	# variables          	= 9
	# fit success        	= True
	# function evals     	= 94
	# fit duration       	= 1305.79 seconds
	# chi-square         	= 0.00034241
	# reduced chi-square 	= 0.00000239
#Variables----------------------------------------------------------------------
	# c11 : (89.658 +- 0.015) GPa (init = [[70, 100], GPa])
	# c12 : (25.277 +- 0.001) GPa (init = [[10, 40], GPa])
	# c13 : (40.997 +- 0.003) GPa (init = [[25, 55], GPa])
	# c22 : (143.989 +- 0.016) GPa (init = [[125, 155], GPa])
	# c23 : (31.981 +- 0.013) GPa (init = [[15, 60], GPa])
	# c33 : (95.898 +- 0.028) GPa (init = [[75, 105], GPa])
	# c44 : (28.053 +- 0.006) GPa (init = [[15, 45], GPa])
	# c55 : (53.406 +- 0.003) GPa (init = [[37, 67], GPa])
	# c66 : (30.585 +- 0.002) GPa (init = [[15, 45], GPa])
#Fixed values-------------------------------------------------------------------
	# angle_x : 88.97059856 deg
	# angle_y : 76.58791088 deg
	# angle_z : 60.33777973 deg

########################################################################################################################
########################################################################################################################

#                                                      2 x logarithmic derivative (2 x dlnf / dlnc)                                                                                                        
#index  f exp(MHz)   f calc(MHz)  diff (%)     weight  c11          c12          c13          c22          c23          c33          c44          c55          c66          
#-----------------------------------------------------------------------------------------------------------------------
102     4.336869     4.336219     0.015        1.0     0.291004     -0.009781    -0.144684    0.139543     -0.032947    0.246123     0.179712     0.099028     0.232003     
103     4.369497     4.36847      0.024        1.0     0.275037     -0.024039    -0.15347     0.185091     -0.025786    0.225232     0.140651     0.102285     0.274998     
104     4.392279     4.393976     0.039        1.0     0.217275     -0.017294    -0.108636    0.119422     -0.027224    0.224504     0.293923     0.141522     0.156509     
105     4.406382     4.408704     0.053        1.0     0.186645     -0.011259    -0.094608    0.123255     -0.024654    0.217539     0.336284     0.112491     0.154308     
106     4.420915     4.42571      0.108        1.0     0.289214     -0.009694    -0.157649    0.115627     -0.020017    0.233777     0.194889     0.118006     0.235847     
107     4.436208     4.443996     0.175        1.0     0.205874     0.000751     -0.117576    0.123761     -0.038907    0.223871     0.252082     0.104735     0.245409     
108     4.449224     4.446721     0.056        1.0     0.312374     -0.01327     -0.192189    0.125695     -0.035404    0.299242     0.187692     0.136265     0.179595     
109     4.466907     4.464489     0.054        1.0     0.176561     -0.00627     -0.082402    0.162951     -0.045352    0.179324     0.244966     0.149433     0.220788     
110     4.478809     4.468021     0.241        1.0     0.201036     -0.00403     -0.100782    0.153664     -0.051827    0.219        0.226772     0.202258     0.153909     
111     4.489818     4.496682     0.153        1.0     0.325637     -0.004372    -0.205462    0.093421     -0.025224    0.296859     0.201819     0.148795     0.168528     
112     4.498095     4.509154     0.245        1.0     0.292177     -0.017125    -0.154692    0.145024     -0.042346    0.257166     0.175959     0.141491     0.202346     
113     4.518615     4.518922     0.007        1.0     0.23203      -0.022469    -0.136634    0.169689     -0.044716    0.275998     0.182336     0.120393     0.223373     
114     4.535192     4.544578     0.207        1.0     0.221915     -0.016713    -0.124806    0.125275     -0.018785    0.187506     0.165206     0.170413     0.289989     
115     4.55608      4.556274     0.004        1.0     0.202824     -0.002051    -0.1096      0.093035     -0.025691    0.204073     0.176985     0.238965     0.22146      
116     4.563743     4.569777     0.132        1.0     0.275763     -0.005095    -0.166689    0.116331     -0.036211    0.265264     0.223782     0.100706     0.22615      
117     4.591479     4.598207     0.146        1.0     0.288289     -0.025281    -0.135827    0.135711     -0.030804    0.231243     0.185226     0.149778     0.201666     
118     4.597291     4.603335     0.131        1.0     0.271442     -0.018638    -0.176526    0.118305     -0.015801    0.294219     0.213029     0.120969     0.193        
119     4.6096       4.61799      0.182        1.0     0.292658     -0.017872    -0.148181    0.126576     -0.016096    0.219719     0.159096     0.14779      0.23631      
120     4.627621     4.636386     0.189        1.0     0.14954      -0.010404    -0.073466    0.192191     -0.059425    0.234214     0.305607     0.07906      0.182681     
121     4.648203     4.661963     0.295        1.0     0.225132     -0.030506    -0.100976    0.161783     -0.040537    0.258933     0.178354     0.134082     0.213734     
122     4.661205     4.668154     0.149        1.0     0.248605     -0.02392     -0.120982    0.17787      -0.044059    0.26381      0.202851     0.14525      0.150574     
123     4.692781     4.694567     0.038        1.0     0.244823     -0.018855    -0.110709    0.127707     -0.026675    0.191432     0.231747     0.166898     0.193631     
124     4.707399     4.712196     0.102        1.0     0.274513     0.001667     -0.153762    0.115283     -0.041344    0.257069     0.182448     0.158613     0.205513     
125     4.715167     4.719305     0.088        1.0     0.219687     -0.019021    -0.119046    0.127208     -0.0193      0.21162      0.223417     0.144129     0.231306     
126     4.727251     4.721745     0.117        1.0     0.260427     -0.020059    -0.161737    0.19188      -0.061491    0.34347      0.183825     0.089274     0.174411     
127     4.733312     4.738984     0.12         1.0     0.27474      -0.016399    -0.166457    0.185549     -0.05799     0.336031     0.183122     0.104923     0.156482     
128     4.759241     4.758162     0.023        1.0     0.281987     -0.013473    -0.177262    0.115028     -0.026455    0.302045     0.229045     0.129034     0.160052     
129     4.766744     4.760638     0.128        1.0     0.227493     -0.017742    -0.101653    0.150642     -0.039489    0.223693     0.211368     0.127859     0.217828     
